flight_id,date,carrier,origin,dest,sched_dep_local,delay_risk,delayed_15,delay_cause,prev_arr_delay_min,turnaround_buffer_min,inbound_delay_after_buffer_min,snowfall_cm,precip_mm,wind_gust_kmh,departures_origin_hour,origin_hour_congestion_pctile
2015-01-11_MQ2975,2015-01-11,MQ,ORD,HSV,20:20,0.7762782915080355,1,carrier,84.0,148.0,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_UA426,2015-01-11,UA,ORD,LGA,20:31,0.7656383147916348,1,weather,25.0,101.0,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_MQ3185,2015-01-11,MQ,ORD,COU,19:55,0.7631993168945024,1,nas,37.0,116.0,0.0,0.28,0.4,16.9,38,0.17792159069592947
2015-01-11_MQ2997,2015-01-11,MQ,ORD,BNA,19:05,0.7617296956947913,0,nas,26.0,157.0,0.0,0.28,0.4,16.9,38,0.17792159069592947
2015-01-11_MQ3608,2015-01-11,MQ,ORD,GRB,20:55,0.7569439155330968,1,nas,88.0,372.0,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_UA1585,2015-01-11,UA,ORD,DEN,20:15,0.7525216320652116,1,late_aircraft,11.0,,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_UA1134,2015-01-11,UA,ORD,CLE,19:15,0.7516848749229268,1,late_aircraft,99.0,,0.0,0.28,0.4,16.9,38,0.17792159069592947
2015-01-11_MQ3139,2015-01-11,MQ,ORD,DBQ,21:50,0.7513000585650659,1,late_aircraft,138.0,177.0,0.0,0.21,0.3,16.2,38,0.17792159069592947
2015-01-11_UA1155,2015-01-11,UA,ORD,MIA,19:19,0.7512722389882729,1,weather,53.0,,0.0,0.28,0.4,16.9,38,0.17792159069592947
2015-01-11_MQ3033,2015-01-11,MQ,ORD,SGF,19:00,0.7506837347210021,1,weather,8.0,,0.0,0.28,0.4,16.9,38,0.17792159069592947
2015-01-11_MQ3233,2015-01-11,MQ,ORD,XNA,20:40,0.7491498596255589,1,nas,8.0,224.0,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_AA154,2015-01-11,AA,ORD,MCO,19:55,0.7476574985793588,1,late_aircraft,86.0,270.0,0.0,0.28,0.4,16.9,38,0.17792159069592947
2015-01-11_UA1705,2015-01-11,UA,ORD,DEN,19:35,0.7473396676848983,1,weather,1.0,,0.0,0.28,0.4,16.9,38,0.17792159069592947
